pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
SCHW/NTRS,2019-01-17,2019-02-14,short_spread,2.5198771743759063,-0.272341305369123,20,0.0243162815290109,0.0222701926937602,time_stop,0.002,6,stock_peer_groups,capital_markets,kalman,0.35
MSFT/CRM,2019-04-18,2019-05-16,short_spread,2.8977492864887275,1.4869016189269448,20,-0.0247757821075773,-0.0267317691644959,time_stop,0.002,7,stock_peer_groups,enterprise_software,kalman,0.5
MSFT/CRM,2019-06-10,2019-06-11,short_spread,2.331211227847724,3.751290113210924,2,-0.0257003332580439,-0.0276736329247859,stop_loss,0.002,7,stock_peer_groups,enterprise_software,kalman,0.5
MSFT/CRM,2019-06-12,2019-07-05,short_spread,2.3015223869043937,-0.2700109993268048,17,-0.0119354183698615,-0.0129178590740007,time_stop,0.001,7,stock_peer_groups,enterprise_software,kalman,0.5
UNH/CNC,2019-04-12,2019-05-10,long_spread,-2.9053911980169254,0.4921885377662549,20,0.0080407685973826,0.00599936460585,time_stop,0.002,7,stock_peer_groups,managed_care,kalman,0.5
UNH/CNC,2019-05-21,2019-06-18,short_spread,2.0860470023999294,-0.5615196809474028,20,-0.0045564861917573,-0.0065491384335443,time_stop,0.002,7,stock_peer_groups,managed_care,kalman,0.5
MSFT/INTU,2019-07-25,2019-08-21,short_spread,2.379203132277231,0.0604618106518881,20,0.000202563255911,-0.0017942308579691,time_stop,0.002,8,stock_peer_groups,enterprise_software,kalman,0.2833975891680209
MSFT/INTU,2019-08-26,2019-09-23,long_spread,-3.472848607125689,-0.0879751703754988,20,0.0410995816843251,0.0390222231463368,time_stop,0.002,8,stock_peer_groups,enterprise_software,kalman,0.2833975891680209
MSFT/INTU,2019-10-03,2019-10-03,long_spread,-2.0124995752091563,-0.7907010107667333,1,0.003503623146309,0.0025036231463091,time_stop,0.001,8,stock_peer_groups,enterprise_software,kalman,0.2833975891680209
V/AXP,2019-08-21,2019-09-18,short_spread,2.024460251136976,-0.7442077135318719,20,0.0001499615670388,-0.00185105958541,time_stop,0.002,8,stock_peer_groups,payments_credit,kalman,0.35
HUM/CNC,2019-07-15,2019-08-09,short_spread,2.4806775379823898,-0.0152814865966178,20,-0.0438417006586636,-0.0457433068404994,time_stop,0.002,8,stock_peer_groups,managed_care,kalman,0.2361180397093434
